word,word_lang,word_en
ハイファイ,ja,Hyphilly
嘴,ja,beak
胴体,ja,body
迷彩,ja,camouflage
Árbæ,is,Árbær
endranær,is,incorporation
أنغليكاني,ar,Anglicani
Garðabæ,is,Garðabær
ＯＦＦ会,ja,OFF meeting
أقتني,ar,I knock me
samurai,es,samurai
إماراتي,ar,Emirati
berbuai,id,berbuai
أخصائي,ar,specialist
cărturarii,ro,scribes
sinh kí thác quy,vi,substrate
bidadari,id,angel
aviadi,eo,Aviadi
ＧＵＩ,ja,GUI
cantaragiu,ro,weigher
elbalai,eo,elbalai
macaragiu,ro,craner
chiriașii,ro,renters
いく人,ja,Person
antinazis,fr,Antinazis
１０代,ja,Teen
escusalí,es,scubal
Kalligraphie,de,calligraphy
cronicarii,ro,chroniclers
adipati,id,duke
ayuhai,id,Ayuhai
ＤＩ,ja,Di
abdikasi,id,Abdication
berdamai,id,Make peace
Occitanie,fr,Occitania
Hà Nhì La Mí,vi,Ha Nhi la
aklamasi,id,acclamation
Saurbæ,is,Saurbæ
papaiani,ro,paparian
akapari,eo,oappropriate
ＣＧＩ,ja,CGI
aduhai,id,Aduhai
